region,url,bounds,polygon
AK_Coastal_2009,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Coastal_2009/ept.json,"[-15730544, 10937407, -19027, -15691854, 10976097, 19663]","POLYGON ((-15730544 10937407, -15730544 10976097, -15691854 10976097, -15691854 10937407, -15730544 10937407))"
AK_Fairbanks-NSBorough_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Fairbanks-NSBorough_2010/ept.json,"[-16471700, 9519129, -45314, -16381190, 9609639, 45196]","POLYGON ((-16471700 9519129, -16471700 9609639, -16381190 9609639, -16381190 9519129, -16471700 9519129))"
AK_Juneau_2012,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Juneau_2012/ept.json,"[-15014449, 8012267, -35030, -14943073, 8083643, 36346]","POLYGON ((-15014449 8012267, -15014449 8083643, -14943073 8083643, -14943073 8012267, -15014449 8012267))"
AK_Kenai_2008,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Kenai_2008/ept.json,"[-16906356, 8303726, -166851, -16570284, 8639798, 169221]","POLYGON ((-16906356 8303726, -16906356 8639798, -16570284 8639798, -16570284 8303726, -16906356 8303726))"
AK_MatanuskaSusitna-Lot1_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot1_2011/ept.json,"[-16782341, 8663224, -51435, -16678201, 8767364, 52705]","POLYGON ((-16782341 8663224, -16782341 8767364, -16678201 8767364, -16678201 8663224, -16782341 8663224))"
AK_MatanuskaSusitna-Lot2_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot2_2011/ept.json,"[-16768328, 8706126, -188389, -16390088, 9084366, 189851]","POLYGON ((-16768328 8706126, -16768328 9084366, -16390088 9084366, -16390088 8706126, -16768328 8706126))"
AK_NomeCreek_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NomeCreek_2010/ept.json,"[-16391082, 9681153, -20529, -16348578, 9723657, 21975]","POLYGON ((-16391082 9681153, -16391082 9723657, -16348578 9723657, -16348578 9681153, -16391082 9681153))"
AK_NorthSlope_B10_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B10_2018/ept.json,"[-18152228, 10978280, -6467, -18139030, 10991478, 6731]","POLYGON ((-18152228 10978280, -18152228 10991478, -18139030 10991478, -18139030 10978280, -18152228 10978280))"
AK_NorthSlope_B11_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B11_2018/ept.json,"[-18571233, 10544583, -6584, -18557621, 10558195, 7028]","POLYGON ((-18571233 10544583, -18571233 10558195, -18557621 10558195, -18557621 10544583, -18571233 10544583))"
AK_NorthSlope_B12_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B12_2018/ept.json,"[-16905696, 10474287, -15444, -16872158, 10507825, 18094]","POLYGON ((-16905696 10474287, -16905696 10507825, -16872158 10507825, -16872158 10474287, -16905696 10474287))"
AK_NorthSlope_B13_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B13_2018/ept.json,"[-18156267, 10971456, -13104, -18129745, 10997978, 13418]","POLYGON ((-18156267 10971456, -18156267 10997978, -18129745 10997978, -18129745 10971456, -18156267 10971456))"
AK_NorthSlope_B14_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B14_2018/ept.json,"[-18572778, 10488876, -48102, -18475800, 10585854, 48876]","POLYGON ((-18572778 10488876, -18572778 10585854, -18475800 10585854, -18475800 10488876, -18572778 10488876))"
AK_NorthSlope_B1_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B1_2018/ept.json,"[-15990539, 11105651, -3519, -15983447, 11112743, 3573]","POLYGON ((-15990539 11105651, -15990539 11112743, -15983447 11112743, -15983447 11105651, -15990539 11105651))"
AK_NorthSlope_B2_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B2_2018/ept.json,"[-16816671, 11131304, -6851, -16801711, 11146264, 8109]","POLYGON ((-16816671 11131304, -16816671 11146264, -16801711 11146264, -16801711 11131304, -16816671 11131304))"
AK_NorthSlope_B3_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B3_2018/ept.json,"[-17624395, 11221392, -157520, -17308565, 11537222, 158310]","POLYGON ((-17624395 11221392, -17624395 11537222, -17308565 11537222, -17308565 11221392, -17624395 11221392))"
AK_NorthSlope_B4_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B4_2018/ept.json,"[-17818846, 11272822, -6296, -17806160, 11285508, 6390]","POLYGON ((-17818846 11272822, -17818846 11285508, -17806160 11285508, -17806160 11272822, -17818846 11272822))"
AK_NorthSlope_B5_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B5_2018/ept.json,"[-16002250, 11095749, -8147, -15985036, 11112963, 9067]","POLYGON ((-16002250 11095749, -16002250 11112963, -15985036 11112963, -15985036 11095749, -16002250 11095749))"
AK_NorthSlope_B6_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B6_2018/ept.json,"[-16819308, 10987385, -156717, -16504630, 11302063, 157961]","POLYGON ((-16819308 10987385, -16819308 11302063, -16504630 11302063, -16504630 10987385, -16819308 10987385))"
AK_NorthSlope_B7_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B7_2018/ept.json,"[-17615692, 11209724, -149488, -17315734, 11509682, 150470]","POLYGON ((-17615692 11209724, -17615692 11509682, -17315734 11509682, -17315734 11209724, -17615692 11209724))"
AK_NorthSlope_B8_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B8_2018/ept.json,"[-17834433, 11247373, -25662, -17782965, 11298841, 25806]","POLYGON ((-17834433 11247373, -17834433 11298841, -17782965 11298841, -17782965 11247373, -17834433 11247373))"
AK_NorthSlope_B9_2018,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B9_2018/ept.json,"[-16896611, 10483668, -4530, -16885307, 10494972, 6774]","POLYGON ((-16896611 10483668, -16896611 10494972, -16885307 10494972, -16885307 10483668, -16896611 10483668))"
AK_ValdezB_2007,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_ValdezB_2007/ept.json,"[-16324046, 8607668, -39681, -16242942, 8688772, 41423]","POLYGON ((-16324046 8607668, -16324046 8688772, -16242942 8688772, -16242942 8607668, -16324046 8607668))"
AK_Valdez_2007,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Valdez_2007/ept.json,"[-16324097, 8595907, -39642, -16243073, 8676931, 41382]","POLYGON ((-16324097 8595907, -16324097 8676931, -16243073 8676931, -16243073 8595907, -16324097 8595907))"
AK_YukonFlats_2009,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_YukonFlats_2009/ept.json,"[-16355534, 9810051, -115199, -16124550, 10041035, 115785]","POLYGON ((-16355534 9810051, -16355534 10041035, -16124550 10041035, -16124550 9810051, -16355534 9810051))"
AL_25Co_TL_2017,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_25Co_TL_2017/ept.json,"[-9738245, 3679488, -76796, -9583993, 3833740, 77456]","POLYGON ((-9738245 3679488, -9738245 3833740, -9583993 3833740, -9583993 3679488, -9738245 3679488))"
AL_BaldwinCo-East_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-East_2011/ept.json,"[-9769660, 3541928, -28229, -9711848, 3599740, 29583]","POLYGON ((-9769660 3541928, -9769660 3599740, -9711848 3599740, -9711848 3541928, -9769660 3541928))"
AL_BaldwinCo-West_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BaldwinCo-West_2011/ept.json,"[-9806543, 3585333, -14547, -9776607, 3615269, 15389]","POLYGON ((-9806543 3585333, -9806543 3615269, -9776607 3615269, -9776607 3585333, -9806543 3585333))"
AL_BlountCo_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_BlountCo_2010/ept.json,"[-9680980, 3993429, -36796, -9606762, 4067647, 37422]","POLYGON ((-9680980 3993429, -9680980 4067647, -9606762 4067647, -9606762 3993429, -9680980 3993429))"
AL_ColbertLauderdale_2011,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_ColbertLauderdale_2011/ept.json,"[-9819698, 4079099, -56296, -9707786, 4191011, 55616]","POLYGON ((-9819698 4079099, -9819698 4191011, -9707786 4191011, -9707786 4079099, -9819698 4079099))"
AL_NorthAL_2019,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_NorthAL_2019/ept.json,"[-9680134, 4083753, -40167, -9599032, 4164855, 40935]","POLYGON ((-9680134 4083753, -9680134 4164855, -9599032 4164855, -9599032 4083753, -9680134 4083753))"
AL_TriCounty_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AL_TriCounty_2010/ept.json,"[-9638897, 3908730, -59670, -9519967, 4027660, 59260]","POLYGON ((-9638897 3908730, -9638897 4027660, -9519967 4027660, -9519967 3908730, -9638897 3908730))"
AR-TN_NRCS_CaneCreek_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_CaneCreek_2010/ept.json,"[-9988653, 4246921, -16161, -9955677, 4279897, 16815]","POLYGON ((-9988653 4246921, -9988653 4279897, -9955677 4279897, -9955677 4246921, -9988653 4246921))"
AR-TN_NRCS_Sharkey_2010,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AR-TN_NRCS_Sharkey_2010/ept.json,"[-10049752, 4228773, -41023, -9967132, 4311393, 41597]","POLYGON ((-10049752 4228773, -10049752 4311393, -9967132 4311393, -9967132 4228773, -10049752 4228773))"
