region,location,bounds
AK_Coastal_2009/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Coastal_2009/ept.json,"[-15730544, 10937407, -19027, -15691854, 10976097, 19663]"
AK_Fairbanks-NSBorough_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Fairbanks-NSBorough_2010/ept.json,"[-16471700, 9519129, -45314, -16381190, 9609639, 45196]"
AK_Juneau_2012/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Juneau_2012/ept.json,"[-15014449, 8012267, -35030, -14943073, 8083643, 36346]"
AK_Kenai_2008/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_Kenai_2008/ept.json,"[-16906356, 8303726, -166851, -16570284, 8639798, 169221]"
AK_MatanuskaSusitna-Lot1_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot1_2011/ept.json,"[-16782341, 8663224, -51435, -16678201, 8767364, 52705]"
AK_MatanuskaSusitna-Lot2_2011/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_MatanuskaSusitna-Lot2_2011/ept.json,"[-16768328, 8706126, -188389, -16390088, 9084366, 189851]"
AK_NomeCreek_2010/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NomeCreek_2010/ept.json,"[-16391082, 9681153, -20529, -16348578, 9723657, 21975]"
AK_NorthSlope_B10_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B10_2018/ept.json,"[-18152228, 10978280, -6467, -18139030, 10991478, 6731]"
AK_NorthSlope_B11_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B11_2018/ept.json,"[-18571233, 10544583, -6584, -18557621, 10558195, 7028]"
AK_NorthSlope_B12_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B12_2018/ept.json,"[-16905696, 10474287, -15444, -16872158, 10507825, 18094]"
AK_NorthSlope_B13_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B13_2018/ept.json,"[-18156267, 10971456, -13104, -18129745, 10997978, 13418]"
AK_NorthSlope_B14_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B14_2018/ept.json,"[-18572778, 10488876, -48102, -18475800, 10585854, 48876]"
AK_NorthSlope_B1_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B1_2018/ept.json,"[-15990539, 11105651, -3519, -15983447, 11112743, 3573]"
AK_NorthSlope_B2_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B2_2018/ept.json,"[-16816671, 11131304, -6851, -16801711, 11146264, 8109]"
AK_NorthSlope_B3_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B3_2018/ept.json,"[-17624395, 11221392, -157520, -17308565, 11537222, 158310]"
AK_NorthSlope_B4_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B4_2018/ept.json,"[-17818846, 11272822, -6296, -17806160, 11285508, 6390]"
AK_NorthSlope_B5_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B5_2018/ept.json,"[-16002250, 11095749, -8147, -15985036, 11112963, 9067]"
AK_NorthSlope_B6_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B6_2018/ept.json,"[-16819308, 10987385, -156717, -16504630, 11302063, 157961]"
AK_NorthSlope_B7_2018/,https://s3-us-west-2.amazonaws.com/usgs-lidar-public/AK_NorthSlope_B7_2018/ept.json,"[-17615692, 11209724, -149488, -17315734, 11509682, 150470]"
